Date,Close Price,Open Price,High Price,Low Price,Total Traded Quantity,Month,Year,priceXvol,Day_Perc_Change,Trend
2019-10-24,1259.11,1259.11,1262.9,1252.35,1010000.0,10,2019,1271701100.0,0.0011768167107970573,Slight or No change
2019-10-23,1257.63,1240.21,1258.04,1240.21,1180000.0,10,2019,1484003400.0000002,0.013237189816306838,Slight or No change
2019-10-22,1241.2,1244.48,1248.73,1239.85,1280000.0,10,2019,1588736000.0,-0.002475327096794877,Slight or No change
2019-10-21,1244.28,1248.7,1253.51,1239.99,1030000.0,10,2019,1281608400.0,-0.00010446717721657173,Slight or No change
2019-10-18,1244.41,1254.69,1258.11,1240.14,1580000.0,10,2019,1966167800.0000002,-0.00669699872286067,Slight or No change
2019-10-17,1252.8,1251.4,1263.75,1249.87,1060000.0,10,2019,1327968000.0,0.007884151246983162,Slight or No change
2019-10-16,1243.0,1241.81,1254.19,1238.53,1150000.0,10,2019,1429450000.0,0.0006117980422462033,Slight or No change
2019-10-15,1242.24,1221.5,1247.12,1220.92,1530000.0,10,2019,1900627200.0,0.020094106440460946,Slight or No change
2019-10-14,1217.77,1213.89,1225.88,1211.88,683930.0,10,2019,832869436.1,0.0016944830592822147,Slight or No change
2019-10-11,1215.71,1224.03,1228.75,1213.64,1130000.0,10,2019,1373752300.0,0.005159284645340545,Slight or No change
2019-10-10,1209.47,1198.6,1215.62,1197.86,668240.0,10,2019,808216232.8000001,0.005879906852960692,Slight or No change
2019-10-09,1202.4,1201.33,1208.46,1198.12,813220.0,10,2019,977815728.0000001,0.010309798089284339,Slight or No change
2019-10-08,1190.13,1198.77,1206.87,1189.48,1030000.0,10,2019,1225833900.0,-0.014996896337678423,Slight or No change
2019-10-07,1208.25,1207.0,1218.91,1204.36,879020.0,10,2019,1062075915.0,-0.002237893902358512,Slight or No change
2019-10-04,1210.96,1194.29,1212.46,1190.97,1230000.0,10,2019,1489480800.0,0.018101107253053916,Slight or No change
2019-10-03,1189.43,1183.34,1191.0,1163.14,1470000.0,10,2019,1748462100.0,0.00977146155935893,Slight or No change
2019-10-02,1177.92,1196.5,1198.76,1172.63,1670000.0,10,2019,1967126400.0000002,-0.02328358208955217,Slight or No change
2019-10-01,1206.0,1222.49,1232.86,1205.55,1280000.0,10,2019,1543680000.0,-0.012398250814812495,Slight or No change
2019-09-30,1221.14,1220.6,1227.4,1213.42,1290000.0,9,2019,1575270600.0000002,-0.003923487907337098,Slight or No change
2019-09-27,1225.95,1242.83,1244.99,1215.2,1720000.0,9,2019,2108634000.0,-0.013153128496566802,Slight or No change
2019-09-26,1242.29,1242.14,1244.67,1231.82,1170000.0,9,2019,1453479300.0,-0.0029295150649309987,Slight or No change
2019-09-25,1245.94,1216.01,1248.02,1209.2,1360000.0,9,2019,1694478400.0,0.022662168706343966,Slight or No change
2019-09-24,1218.33,1240.0,1247.11,1210.64,1840000.0,9,2019,2241727200.0,-0.01325028954636398,Slight or No change
2019-09-23,1234.69,1226.57,1239.68,1223.78,1200000.0,9,2019,1481628000.0,0.0039436024198271635,Slight or No change
2019-09-20,1229.84,1233.64,1242.8,1223.58,1940000.0,9,2019,2385889600.0,-0.007192734611503604,Slight or No change
2019-09-19,1238.75,1232.32,1244.34,1232.31,847000.0,9,2019,1049221250.0,0.004948687786476169,Slight or No change
2019-09-18,1232.65,1230.24,1236.24,1216.47,892790.0,9,2019,1100497593.5,0.0022522522522523403,Slight or No change
2019-09-17,1229.88,1231.63,1235.0,1223.35,1050000.0,9,2019,1291374000.0,-0.001420881271161023,Slight or No change
2019-09-16,1231.63,1230.44,1239.02,1225.19,1410000.0,9,2019,1736598300.0000002,-0.006774029660572611,Slight or No change
2019-09-13,1240.03,1232.11,1241.05,1227.08,1180000.0,9,2019,1463235400.0,0.004097265520619953,Slight or No change
2019-09-12,1234.97,1223.47,1242.41,1222.56,1580000.0,9,2019,1951252600.0,0.012270491803278771,Slight or No change
2019-09-11,1220.0,1203.89,1222.47,1202.28,1180000.0,9,2019,1439600000.0,0.011860330098697913,Slight or No change
2019-09-10,1205.7,1196.09,1210.0,1196.01,1400000.0,9,2019,1687980000.0,0.0003567665336399184,Slight or No change
2019-09-09,1205.27,1207.08,1220.55,1193.17,1590000.0,9,2019,1916379300.0,-0.0008704158100669712,Slight or No change
2019-09-06,1206.32,1209.14,1212.94,1203.26,948580.0,9,2019,1144291025.6,-0.004842475189533069,Slight or No change
2019-09-05,1212.19,1193.66,1214.0,1192.69,1320000.0,9,2019,1600090800.0,0.025307247921371623,Slight or No change
2019-09-04,1182.27,1179.45,1184.88,1171.53,1070000.0,9,2019,1265028900.0,0.010875977940233428,Slight or No change
2019-09-03,1169.55,1181.85,1189.08,1163.71,1300000.0,9,2019,1520415000.0,-0.017622403467363323,Slight or No change
2019-08-30,1190.53,1200.35,1200.35,1185.72,903380.0,8,2019,1075500991.3999999,-0.003106578242229374,Slight or No change
2019-08-29,1194.24,1186.42,1199.19,1185.28,982100.0,8,2019,1172863104.0,0.017456869009584652,Slight or No change
2019-08-28,1173.75,1164.87,1178.5,1160.25,840830.0,8,2019,986924212.5,0.0025025196016468243,Slight or No change
