fortis,idfc,pvr,suzlon,vip
205.25,63.7,1524.95,19.6,199.2
207.9,64.25,1539.0,19.7,200.9
205.9,63.35,1530.3,19.9,199.65
196.85,61.5,1515.05,20.0,193.3
203.55,61.15,1513.55,20.6,195.95
194.8,60.2,1481.0,20.4,192.85
196.55,58.25,1496.45,19.75,183.2
194.35,56.9,1450.0,18.85,183.4
202.55,57.6,1461.15,19.35,187.55
202.75,59.25,1471.5,19.8,193.75
196.1,58.35,1472.85,19.15,189.6
198.15,59.15,1447.9,19.15,189.35
195.15,59.05,1454.95,19.3,192.7
198.35,59.15,1455.7,19.5,197.9
192.95,59.4,1457.8,19.75,197.9
194.9,59.0,1442.25,19.85,198.7
191.05,58.7,1392.85,19.35,197.35
194.05,58.7,1400.7,19.35,194.25
192.95,57.65,1454.0,19.15,194.65
193.55,57.65,1472.25,19.2,195.25
191.45,56.4,1488.95,19.0,195.45
189.45,56.5,1496.3,18.95,197.0
187.0,56.5,1522.5,18.75,195.45
197.65,56.6,1523.5,18.95,192.55
190.5,57.05,1564.15,18.75,194.6
190.1,57.05,1569.9,18.55,195.2
198.4,57.95,1570.3,18.6,195.0
194.9,57.4,1581.4,18.7,196.3
197.9,57.7,1563.95,18.7,193.2
172.5,56.2,1508.0,18.4,190.2
165.25,54.95,1450.35,18.1,186.4
167.0,55.6,1405.35,17.65,180.75
,55.15,1417.6,18.1,184.1
164.4,55.25,1408.55,18.75,182.1
162.0,54.2,1440.4,18.9,184.8
163.25,54.9,1425.75,18.65,190.45
155.95,60.45,1407.2,18.75,192.9
161.15,60.65,1421.2,18.7,196.05
162.35,59.95,1419.05,18.55,192.75
158.85,56.5,1425.4,18.85,189.8
162.55,56.0,1419.3,19.35,186.0
161.0,57.3,1419.6,19.1,185.0
162.9,56.5,1417.7,19.05,186.95
164.1,56.15,1403.2,18.9,182.2
162.95,56.1,1381.95,18.85,181.6
148.4,57.3,1382.0,18.3,178.75
150.4,59.4,1387.15,18.45,178.85
150.7,59.1,1385.8,18.5,178.3
157.0,58.3,1367.5,19.15,178.1
163.55,58.95,1369.4,18.95,178.0
167.05,58.65,1381.7,18.9,177.95
168.65,58.35,1354.4,19.1,180.6
166.25,57.6,1330.3,20.0,175.45
163.65,59.55,1340.0,19.2,175.1
159.1,58.75,1340.55,18.95,172.45
155.55,58.7,1375.1,18.9,176.6
155.45,58.2,1377.65,18.45,179.35
153.3,56.95,1374.05,17.75,185.95
163.3,57.55,1400.2,17.65,194.3
166.35,58.55,1430.45,17.3,199.6
164.15,56.9,1409.65,16.65,191.85
159.8,56.4,1358.0,16.3,190.05
158.6,54.65,1332.6,15.4,183.8
151.85,53.6,1285.9,15.25,188.55
151.95,54.7,1288.0,17.4,195.45
150.0,56.75,1329.2,17.5,196.1
151.05,56.45,1301.25,17.2,195.45
151.45,55.85,1321.75,16.95,195.05
145.15,54.3,1280.65,16.15,206.1
143.7,53.85,1272.35,16.05,208.3
141.55,54.85,1255.45,16.35,206.8
152.6,54.6,1263.55,16.3,211.6
151.75,55.0,1276.25,16.65,222.05
148.9,54.05,1261.5,16.25,216.2
143.9,54.6,1309.95,16.45,220.65
154.4,54.45,1321.45,16.3,226.5
146.05,57.9,1323.4,16.55,236.65
149.1,58.4,1310.25,16.15,238.45
147.85,59.2,1304.9,16.35,236.4
152.2,60.25,1308.4,16.3,234.7
152.2,60.2,1323.65,16.25,233.35
153.4,58.95,1366.35,16.15,226.6
154.2,58.95,1344.85,16.8,228.15
154.0,58.7,1346.85,16.95,232.0
153.25,58.75,1323.35,17.1,230.4
150.85,61.4,1321.35,17.1,230.15
151.7,62.1,1336.35,16.95,224.55
149.95,62.3,1329.3,16.9,260.4
150.85,62.1,1337.8,16.75,248.45
153.55,62.5,1310.0,16.75,248.4
153.55,61.55,1281.2,17.0,249.7
152.05,60.05,1217.7,16.3,244.2
150.05,59.85,1214.9,16.1,234.2
146.75,60.25,1211.85,16.15,245.2
147.35,58.35,1174.6,15.8,240.75
144.9,59.3,1194.65,15.4,240.1
145.5,59.0,1204.9,15.6,249.95
144.0,59.0,1221.05,15.6,255.3
145.6,59.25,1268.6,15.65,255.8
146.15,59.1,1293.45,15.2,256.1
150.0,59.7,1313.65,15.35,261.85
156.85,64.5,1387.6,15.2,264.75
152.3,64.1,1376.65,16.25,272.5
153.15,63.9,1335.65,15.5,263.6
149.55,66.55,1352.7,15.8,264.5
149.95,66.2,1404.1,15.55,265.2
151.8,65.45,1372.1,15.45,265.65
150.85,64.95,1387.6,15.5,262.15
149.55,63.3,1369.1,15.55,264.95
147.45,63.6,1362.65,15.4,262.15
146.0,63.75,1415.75,15.35,264.85
144.85,63.65,1420.85,15.55,270.65
146.15,63.4,1388.85,15.9,280.25
145.6,66.3,1421.45,15.85,278.95
145.8,63.2,1421.2,15.95,278.85
146.0,61.8,1397.45,16.55,292.7
144.0,62.95,1387.15,16.95,289.2
143.9,64.65,1377.5,16.75,287.95
143.2,63.8,1363.7,16.4,280.05
143.4,63.05,1364.65,16.5,280.05
142.7,62.3,1403.55,16.1,287.7
143.2,,1344.5,15.55,300.55
140.2,60.75,1379.9,15.5,298.2
138.0,59.35,1366.4,15.5,302.8
138.9,60.6,1394.3,15.55,305.95
134.45,62.45,1398.55,14.65,314.1
132.2,62.6,1390.25,14.5,316.75
130.45,61.55,1386.1,13.65,306.15
140.45,60.3,1390.5,13.45,309.6
130.65,60.7,1408.05,13.7,314.0
129.95,61.1,1380.35,13.6,306.35
130.95,61.7,1368.2,13.85,309.7
129.0,61.05,1356.15,13.65,345.95
125.1,60.65,1349.1,13.6,345.05
132.0,60.8,1303.2,14.15,343.15
138.75,61.0,1305.2,15.0,348.6
143.0,63.4,1308.65,14.7,371.7
141.15,62.55,1313.1,14.5,353.7
138.6,61.95,1315.95,13.95,357.15
144.85,62.35,1278.25,13.8,361.2
143.6,60.9,1275.35,13.85,351.55
148.35,59.65,1269.7,13.6,336.1
150.0,59.7,1269.7,13.6,343.4
144.75,58.9,1286.9,13.75,352.8
146.1,59.35,1302.45,13.95,354.55
146.85,59.8,1294.45,13.85,355.4
138.7,59.75,1307.6,13.8,342.55
128.0,58.75,1302.1,13.6,340.45
130.5,57.8,1298.6,13.3,337.7
135.15,57.3,1303.85,13.5,346.3
135.65,57.95,1334.15,13.45,349.55
133.65,58.3,1346.4,13.7,359.45
136.05,58.5,1425.25,14.2,351.15
140.8,58.5,1437.4,14.5,352.8
142.55,60.15,1441.1,14.6,353.8
142.45,60.95,1418.6,15.0,350.6
150.35,60.45,1432.25,15.15,348.8
158.1,61.85,1408.55,15.05,347.35
161.95,62.8,1411.05,15.55,351.35
160.45,62.9,1423.75,15.8,351.25
157.4,63.0,1402.8,15.85,347.15
154.75,61.6,1401.8,15.75,344.6
163.25,61.7,1399.0,15.8,360.75
164.05,61.7,1419.0,15.55,352.05
163.3,64.45,1460.2,15.65,356.55
163.5,66.65,1486.8,16.4,370.65
165.6,65.2,1469.0,16.4,368.7
162.45,63.95,1460.75,16.45,368.95
148.9,65.55,1463.15,16.2,368.7
144.65,65.65,1459.35,16.05,367.45
146.25,63.95,1438.2,15.25,360.75
140.3,59.9,1474.3,15.35,375.55
144.05,61.7,1457.15,14.85,362.3
144.1,58.9,1469.05,15.1,362.5
145.45,58.0,1474.1,15.0,367.0
147.2,58.55,1529.3,15.0,366.45
150.5,58.2,1485.25,14.85,368.4
153.85,58.05,1466.85,14.6,357.65
157.3,56.6,1467.8,14.65,352.4
147.5,55.45,1422.9,14.55,337.4
146.9,56.8,1460.6,14.6,340.15
139.05,56.35,1418.85,14.6,343.4
132.6,55.65,1302.15,13.6,341.2
126.45,52.45,1297.7,13.3,339.4
118.45,53.25,1331.25,12.8,352.2
114.2,51.7,1380.1,13.05,353.55
123.75,52.2,1414.15,13.25,354.05
126.05,53.8,1396.6,13.5,356.45
148.6,53.25,1412.75,13.5,354.2
139.0,53.75,1405.5,13.35,351.95
142.45,53.3,1403.9,13.2,347.55
143.4,52.0,1402.3,13.15,344.65
